anyo,trimestre,barrio,barrio_URI,num_viviendas,metros_2,dormitorios,banyos,renta_min,renta_media,renta_max,euros_m2,desv_tipica
2012,2,Alipark,Q8195638,4,103,3,1.8,375,465,520,4.6,63
2012,2,Altozano-Conde Lumiares,Q5855261,32,101,3,1.5,375,484,600,4.9,67
2012,2,Benalua,Q8246192,66,91,2.8,1.4,300,482,900,5.5,112
2012,2,Benissa,Q1649406,2,93,2.5,2,530,540,550,5.8,14
2012,2,Cabo de las Huertas,Q8254541,24,118,3.1,1.8,450,711,1200,6.3,163
2012,2,Campoamor,Q8261229,22,92,2.8,1.6,350,458,550,5.1,50
2012,2,Carolinas Altas,Q5199022,29,82,2.6,1.4,299,421,600,5.4,83
2012,2,Carolinas Bajas,Q8339426,22,80,2.4,1.3,350,439,575,5.6,60
2012,2,Old town-Santa Cruz,Q8341907,16,80,2.1,1.6,350,524,750,7.1,122
2012,2,Center,Q5760971,126,98,2.6,1.5,310,568,900,6.2,125
2012,2,Old town-Santa Cruz,Q8341907,28,92,2.2,1.5,310,576,1000,6.8,210
2012,2,Asis,Q5770765,4,83,2.8,1.5,350,440,550,5.4,86
2012,2,Florida Alta,Q5863207,13,86,2.6,1.4,310,431,600,5,82
2012,2,Florida Baixa,Q5555553,27,97,2.9,1.3,300,464,600,4.9,78
2012,2,Garbinet,Q8963455,2,80,2.5,1,350,440,530,5.5,127
2012,2,Garbinet,Q8963455,20,105,2.8,1.7,350,618,800,6,108
2012,2,Joan XXIII,Q5952905,2,81,3,1,350,375,400,4.7,35
2012,2,l'Albufereta,Q11482271,27,95,2.1,1.4,350,598,1100,6.6,220
2012,2,Els Àngels,Q9024383,21,90,2.7,1.7,400,452,550,5.1,57
2012,2,Mercado,Q3117833,20,90,2.6,1.6,399,503,700,6.1,84
2012,2,international peace,Q114246474,12,102,2.7,1.9,520,645,950,6.4,117
2012,2,Pla del Bon Repòs,Q9060237,36,78,2.4,1.1,325,414,575,5.6,55
2012,2,San Juan Playa,Q9060728,73,138,2.7,2,400,696,1200,6,221
2012,2,Polígono Babel,Q18005830,32,104,3.1,1.8,400,597,820,7.1,107
2012,2,Polígono San Blas,Q9061569,22,98,2.8,1.7,400,531,700,5.6,100
2012,2,Raval Roig,Q9066754,4,100,2.8,1.8,450,563,800,5.8,160
2012,2,San Agustín (Alicante),Q9073289,11,67,3,2,400,461,495,6.9,31
2012,2,San Antón,Q2917775,4,65,1.5,1,380,455,550,7.2,70
2012,2,San Blas-Santo Domingo,Q4897331,57,95,2.8,1.5,350,477,690,5.3,81
2012,2,San Gabriel National Forest,Q7414207,20,114,3.1,1.7,330,567,850,5.3,136
2012,2,Sidi Ifni-Nuevo Alicante,Q6127455,2,110,3.5,1,325,453,580,4.5,180
2012,2,Tómbola,Q6154605,7,99,3.3,1.9,440,531,600,5.5,55
2012,2,Urbanova,Q125359431,7,95,2.6,1.9,400,557,650,6.4,110
2012,2,Virgen del Remedio,Q6163619,2,79,3,1,290,295,300,3.8,7
2012,3,Alipark,Q8195638,10,92,3.2,1.4,350,448,575,5,61
2012,3,Altozano-Conde Lumiares,Q5855261,36,99,3,1.6,375,466,600,5,65
2012,3,Benalua,Q8246192,42,93,2.9,1.6,330,488,700,6.6,89
2012,3,Benissa,Q1649406,4,94,2.5,1.8,380,558,800,6.4,161
2012,3,Cabo de las Huertas,Q8254541,19,140,2.9,2.2,400,815,1600,8.4,360
2012,3,Campoamor,Q8261229,36,87,2.8,1.3,310,425,550,5.2,52
2012,3,Carolinas Altas,Q5199022,36,84,2.6,1.3,299,414,550,5.3,55
2012,3,Carolinas Bajas,Q8339426,31,85,2.3,1.2,315,406,550,5.2,55
2012,3,Old town-Santa Cruz,Q8341907,10,74,1.9,1.1,350,478,700,7.4,108
2012,3,Center,Q5760971,143,101,2.8,1.7,340,571,900,6.2,137
2012,3,Old town-Santa Cruz,Q8341907,14,93,2.5,1.5,350,568,850,7.1,151
2012,3,Asis,Q5770765,8,116,2.5,1.5,300,435,550,4.3,87
2012,3,Florida Alta,Q5863207,17,89,2.8,1.6,350,443,600,5.4,68
2012,3,Florida Baixa,Q5555553,11,87,2.8,1.6,350,476,600,5.7,75
2012,3,Garbinet,Q8963455,31,103,2.8,1.8,350,585,815,6,118
2012,3,l'Albufereta,Q11482271,36,100,2.3,1.6,360,540,800,6.5,127
2012,3,La Goteta,Q28502683,2,129,3.5,2,375,588,800,4.7,213
2012,3,Els Àngels,Q9024383,14,91,2.7,1.5,350,444,600,5,69
2012,3,Mercado,Q3117833,15,110,2.9,1.7,440,634,1200,6.2,193
2012,3,international peace,Q114246474,8,105,2.7,2,600,623,685,6.2,32
2012,3,Plaza Juan Pablo II,Q136523625,3,97,2.7,2,550,617,650,6.4,47
2012,3,Pla del Bon Repòs,Q9060237,57,82,2.6,1.4,300,423,650,5.3,74
2012,3,San Juan Playa,Q9060728,131,129,2.7,2,390,704,1300,6.4,227
2012,3,Polígono Babel,Q18005830,34,95,2.6,1.7,390,543,750,6,90
2012,3,Polígono San Blas,Q9061569,3,102,3,2,500,600,650,5.9,71
2012,3,Raval Roig,Q9066754,2,85,1.5,1.5,400,600,800,7.3,200
2012,3,San Antón,Q2917775,8,81,2.3,1.5,340,499,600,6.4,73
2012,3,San Blas-Santo Domingo,Q4897331,74,101,3.1,1.8,320,518,800,5.4,103
2012,3,San Gabriel National Forest,Q7414207,17,104,2.6,1.8,420,585,800,5.7,121
2012,3,Santa Faz,Q10879280,2,100,3,1.5,450,463,475,4.6,13
2012,3,Sidi Ifni-Nuevo Alicante,Q6127455,5,103,2.8,1.6,360,492,650,4.8,113
2012,3,Tómbola,Q6154605,4,101,3,1.8,395,481,580,4.8,68
2012,3,Urbanova,Q125359431,3,67,1.7,1.3,400,467,500,7,47
2012,3,Villafranqueza,Q9094009,5,90,2.2,1.6,350,400,500,5,52
2012,3,Virgen del Remedio,Q6163619,20,91,3,1.1,270,329,370,3.7,28
2012,3,Vistahermosa,Q6163998,2,123,2.5,2,680,740,800,6.2,60
2012,4,Alipark,Q8195638,12,101,3.6,1.8,360,493,650,4.9,100
2012,4,Altozano-Conde Lumiares,Q5855261,26,106,3.2,1.5,320,456,550,4.7,62
2012,4,Benalua,Q8246192,45,89,2.8,1.5,250,468,800,5.4,109
2012,4,Benissa,Q1649406,3,85,2,1.7,400,467,500,6,47
2012,4,Cabo de las Huertas,Q8254541,24,116,2.5,1.8,300,653,1400,6,253
2012,4,Campoamor,Q8261229,34,96,2.9,1.5,320,464,550,5,55
2012,4,Carolinas Altas,Q5199022,25,80,2.5,1.2,300,404,550,5.2,57
2012,4,Carolinas Bajas,Q8339426,18,75,2.4,1.4,300,430,560,6,80
2012,4,Old town-Santa Cruz,Q8341907,16,68,1.8,1.1,325,502,700,8,88
2012,4,Center,Q5760971,117,96,2.6,1.6,300,543,950,6.2,138
2012,4,Old town-Santa Cruz,Q8341907,23,84,2.4,1.5,350,497,700,6.6,87
2012,4,Asis,Q5770765,5,111,2.6,1.4,350,445,525,4.5,64
2012,4,Florida Alta,Q5863207,16,89,2.8,1.6,310,413,550,4.9,66
2012,4,Florida Baixa,Q5555553,13,88,3,1.5,350,460,580,5.4,67
2012,4,Garbinet,Q8963455,3,71,2,1.3,300,450,550,6.5,108
2012,4,Garbinet,Q8963455,32,115,2.8,1.9,450,590,800,5.6,89
2012,4,Joan XXIII,Q5952905,3,85,3,1.3,380,410,450,5.1,29
2012,4,Joan XXIII,Q5952905,2,103,2.5,1.5,300,400,500,3.8,100
2012,4,l'Albufereta,Q11482271,42,80,2.1,1.3,300,508,700,6.6,98
2012,4,La Goteta,Q28502683,4,86,2.8,1.3,350,386,475,4.6,52
2012,4,Els Àngels,Q9024383,22,94,3.1,1.5,350,449,600,4.8,66
2012,4,Mercado,Q3117833,12,96,2.8,1.8,350,495,600,5.6,66
2012,4,international peace,Q114246474,8,87,2.1,1.8,500,584,700,6.9,63
2012,4,Plaza Juan Pablo II,Q136523625,5,93,3,1.8,500,540,600,5.8,37
2012,4,Pla del Bon Repòs,Q9060237,44,82,2.4,1.2,315,408,600,5.2,62
2012,4,San Juan Playa,Q9060728,113,100,2.4,1.7,300,606,1250,6.6,190
2012,4,Polígono Babel,Q18005830,22,110,3.2,1.9,450,557,750,5.2,88
2012,4,Polígono San Blas,Q9061569,2,106,3,2,450,525,600,5.2,75
2012,4,Raval Roig,Q9066754,10,70,2.5,1.2,375,481,800,7.3,124
2012,4,San Agustín (Alicante),Q9073289,4,103,2.5,2,390,475,550,4.9,59
2012,4,San Antón,Q2917775,10,80,1.7,1.4,325,472,650,6.3,96
2012,4,San Blas-Santo Domingo,Q4897331,52,93,2.8,1.5,350,477,700,5.3,95
2012,4,San Gabriel National Forest,Q7414207,21,109,3,1.9,360,559,700,5.2,88
2012,4,Sidi Ifni-Nuevo Alicante,Q6127455,2,80,3,1,350,365,380,4.6,15
2012,4,Tómbola,Q6154605,5,106,3.4,1.8,395,494,575,4.7,66
2012,4,Urbanova,Q125359431,4,82,2,1.5,400,520,600,6.4,79
2012,4,Villafranqueza,Q9094009,6,82,2.5,1.7,300,399,450,4.9,58
2012,4,Virgen del Remedio,Q6163619,24,87,2.7,1.2,250,344,450,4,48
2012,4,Vistahermosa,Q6163998,2,120,3,1.5,425,513,600,5.2,88
2013,1,Alipark,Q8195638,7,94,2.9,1.6,350,467,600,5.1,96
2013,1,Altozano-Conde Lumiares,Q5855261,20,97,3.1,1.4,320,425,520,4.6,60
2013,1,Benalua,Q8246192,37,89,2.9,1.4,340,475,1000,5.4,145
2013,1,Cabo de las Huertas,Q8254541,20,124,2.3,1.7,340,646,1300,5.9,252
2013,1,Campoamor,Q8261229,23,81,2.7,1.3,280,410,550,5.2,61
2013,1,Carolinas Altas,Q5199022,28,85,2.6,1.3,300,394,500,4.7,46
2013,1,Carolinas Bajas,Q8339426,25,84,2.7,1.3,300,424,550,5.3,71
2013,1,Old town-Santa Cruz,Q8341907,16,71,1.8,1.3,300,479,750,7.6,126
2013,1,Center,Q5760971,113,107,2.8,1.7,300,572,1100,5.8,161
2013,1,Old town-Santa Cruz,Q8341907,27,92,2.3,1.5,320,587,1200,6.6,233
2013,1,Asis,Q5770765,4,118,3,1.3,375,419,450,3.9,32
2013,1,Florida Alta,Q5863207,20,88,2.8,1.3,300,418,500,4.9,59
2013,1,Florida Baixa,Q5555553,13,86,2.5,1.2,350,425,550,5,67
2013,1,Garbinet,Q8963455,4,87,2.3,1.5,450,487,500,5.9,22
2013,1,Garbinet,Q8963455,31,101,2.7,1.9,360,560,800,5.8,90
2013,1,Joan XXIII,Q5952905,3,73,2.7,1,350,363,380,5,12
2013,1,l'Albufereta,Q11482271,38,77,2.1,1.4,300,515,850,7.1,131
2013,1,Els Àngels,Q9024383,21,94,2.9,1.7,295,422,584,4.5,63
2013,1,Mercado,Q3117833,20,95,3,1.5,299,450,800,5,93
2013,1,international peace,Q114246474,21,94,2.3,1.7,375,511,680,5.7,97
2013,1,Plaza Juan Pablo II,Q136523625,8,105,3.1,1.9,460,546,620,5.4,52
2013,1,Pla del Bon Repòs,Q9060237,59,79,2.5,1.2,250,399,700,5.3,75
2013,1,San Juan Playa,Q9060728,108,96,2.3,1.7,300,587,1200,6.5,161
2013,1,Polígono Babel,Q18005830,14,112,3.1,1.9,350,556,700,5.1,91
2013,1,Polígono San Blas,Q9061569,9,107,3.1,1.9,450,523,600,5.1,43
2013,1,Raval Roig,Q9066754,9,88,2.3,1.6,360,514,750,6.2,169
2013,1,San Agustín (Alicante),Q9073289,2,116,2.5,1.5,375,538,700,4.6,163
2013,1,San Antón,Q2917775,16,107,2.3,1.6,280,463,600,5.6,81
2013,1,San Blas-Santo Domingo,Q4897331,63,90,2.6,1.5,350,441,600,5.1,68
2013,1,San Gabriel National Forest,Q7414207,27,112,3.3,1.9,350,565,800,5.1,108
2013,1,Sidi Ifni-Nuevo Alicante,Q6127455,2,68,3,1,350,370,390,5.8,20
2013,1,Tómbola,Q6154605,5,97,2.8,2.2,430,510,585,5.3,65
2013,1,Urbanova,Q125359431,7,82,2,1.6,375,532,800,6.4,137
2013,1,Villafranqueza,Q9094009,12,130,2.6,1.6,325,388,475,3.8,44
2013,1,Virgen del Remedio,Q6163619,6,89,2.7,1.5,300,360,420,4.3,40
2013,1,Vistahermosa,Q6163998,2,58,2,1,330,398,465,7.6,68
2013,2,Alipark,Q8195638,10,90,2.9,1.4,350,430,600,4.8,72
2013,2,Altozano-Conde Lumiares,Q5855261,22,95,3,1.5,275,424,550,4.5,71
2013,2,Benalua,Q8246192,60,91,2.9,1.5,250,433,1000,4.8,109
2013,2,Benissa,Q1649406,4,99,3.1,2,400,510,575,5.1,50
2013,2,Cabo de las Huertas,Q8254541,37,112,2.5,1.6,340,634,1300,5.7,227
2013,2,Campoamor,Q8261229,27,82,2.7,1.4,280,391,550,4.8,60
2013,2,Carolinas Altas,Q5199022,35,81,2.5,1.3,220,383,500,4.7,51
2013,2,Carolinas Bajas,Q8339426,32,78,2.4,1.3,250,395,550,5.1,67
2013,2,Old town-Santa Cruz,Q8341907,19,76,2,1.4,250,464,800,6.1,146
2013,2,Center,Q5760971,118,100,2.7,1.7,280,552,1100,5.5,157
2013,2,Old town-Santa Cruz,Q8341907,49,85,2.3,1.5,250,503,1200,6,190
2013,2,Asis,Q5770765,8,89,2.7,1.3,300,386,450,4.4,49
2013,2,garden city,Q660088,2,177,3,1.7,420,655,1100,3.7,314
2013,2,Florida Alta,Q5863207,20,84,2.8,1.2,299,412,500,4.9,57
2013,2,Florida Baixa,Q5555553,21,84,2.6,1.4,300,425,600,5.1,72
2013,2,Garbinet,Q8963455,3,86,2.2,1.6,350,459,500,5.3,58
2013,2,Garbinet,Q8963455,28,99,2.8,1.9,360,555,800,5.6,82
2013,2,Joan XXIII,Q5952905,4,83,3,1.3,300,344,380,4.2,31
2013,2,l'Albufereta,Q11482271,56,77,2.1,1.4,250,503,850,6.5,122
2013,2,La Goteta,Q28502683,2,97,2,1.3,390,462,600,4.8,97
2013,2,Els Àngels,Q9024383,30,91,2.8,1.6,250,409,584,4.5,63
2013,2,Mercado,Q3117833,31,93,2.9,1.5,299,454,800,4.9,89
2013,2,international peace,Q114246474,20,99,2.5,1.9,375,549,700,5.5,93
2013,2,Plaza Juan Pablo II,Q136523625,7,108,3.2,1.9,460,538,620,5,44
2013,2,Pla del Bon Repòs,Q9060237,60,76,2.5,1.2,250,375,700,5,69
2013,2,San Juan Playa,Q9060728,160,90,2.3,1.7,250,552,1200,6.1,158
2013,2,Polígono Babel,Q18005830,17,103,3.2,1.9,350,530,700,5.2,79
2013,2,Polígono San Blas,Q9061569,12,101,3.1,1.7,340,483,600,4.8,74
2013,2,Raval Roig,Q9066754,11,75,2,1.5,350,462,750,6.2,130
2013,2,San Agustín (Alicante),Q9073289,4,90,2.4,1.4,280,436,750,4.9,179
2013,2,San Antón,Q2917775,10,101,2.3,1.5,240,438,600,4.3,92
2013,2,San Blas-Santo Domingo,Q4897331,60,88,2.7,1.5,300,432,600,4.9,63
2013,2,San Gabriel National Forest,Q7414207,34,104,2.9,1.9,330,524,800,5,92
2013,2,Santa Faz,Q10879280,2,75,1.7,1.3,400,449,550,6,71
2013,2,Sidi Ifni-Nuevo Alicante,Q6127455,3,80,2.8,1.2,350,391,450,4.9,34
2013,2,Tómbola,Q6154605,4,96,3,2.1,430,499,585,5.2,55
2013,2,Urbanova,Q125359431,10,76,2,1.6,325,458,800,6.1,108
2013,2,Villafranqueza,Q9094009,9,112,2.6,1.6,300,408,900,3.6,127
2013,2,Virgen del Remedio,Q6163619,4,89,2.8,1.5,300,354,420,4,41
2013,2,Vistahermosa,Q6163998,4,116,2.9,1.9,330,634,950,5.5,205
2013,3,Alipark,Q8195638,12,94,3.3,1.5,350,446,650,4.7,87
2013,3,Altozano-Conde Lumiares,Q5855261,25,100,3.1,1.5,275,436,550,4.4,72
2013,3,Benalua,Q8246192,64,90,2.9,1.6,250,429,800,4.7,95
2013,3,Benissa,Q1649406,5,94,2.7,1.9,400,492,575,5.3,55
2013,3,Cabo de las Huertas,Q8254541,39,110,2.6,1.7,300,630,1400,5.7,229
2013,3,Campoamor,Q8261229,33,90,2.8,1.4,300,418,550,4.7,70
2013,3,Carolinas Altas,Q5199022,33,79,2.5,1.3,220,382,550,4.8,56
2013,3,Carolinas Bajas,Q8339426,29,74,2.3,1.4,250,390,560,5.2,69
2013,3,Old town-Santa Cruz,Q8341907,19,74,2,1.3,250,468,800,6.3,135
2013,3,Center,Q5760971,120,95,2.6,1.6,280,533,1000,5.6,145
2013,3,Old town-Santa Cruz,Q8341907,48,81,2.3,1.5,250,470,900,5.8,144
2013,3,Asis,Q5770765,8,89,2.6,1.4,300,392,525,4.4,63
2013,3,garden city,Q660088,1,208,3,1.5,450,765,1100,3.7,325
2013,3,Colonia Requena,Q5777835,1,68,2.5,1,270,277,290,4.1,10
2013,3,Florida Alta,Q5863207,18,84,2.8,1.4,299,405,550,4.8,60
2013,3,Florida Baixa,Q5555553,21,84,2.8,1.5,300,432,600,5.1,73
2013,3,Garbinet,Q8963455,2,75,2,1.5,300,420,550,5.6,103
2013,3,Garbinet,Q8963455,29,107,2.8,1.9,450,566,800,5.3,83
2013,3,Joan XXIII,Q5952905,4,87,3.1,1.4,300,358,450,4.1,48
2013,3,Joan XXIII,Q5952905,2,93,3,1.3,260,349,500,3.8,105
2013,3,l'Albufereta,Q11482271,58,78,2.1,1.4,250,496,800,6.3,110
2013,3,La Goteta,Q28502683,3,79,2.3,1.2,350,384,475,4.9,43
2013,3,Els Àngels,Q9024383,31,91,2.9,1.5,250,414,600,4.5,67
2013,3,Mercado,Q3117833,27,92,2.9,1.5,300,460,700,5,84
2013,3,international peace,Q114246474,14,100,2.5,2,500,582,700,5.8,65
2013,3,Plaza Juan Pablo II,Q136523625,5,103,3.1,1.9,500,527,600,5.1,32
2013,3,Pla del Bon Repòs,Q9060237,53,76,2.5,1.2,260,371,600,4.9,64
2013,3,San Juan Playa,Q9060728,163,92,2.3,1.7,250,554,1250,6,170
2013,3,Polígono Babel,Q18005830,21,104,3.2,1.9,390,529,750,5.1,81
2013,3,Polígono San Blas,Q9061569,8,98,3.1,1.7,340,461,600,4.7,82
2013,3,Raval Roig,Q9066754,12,67,2,1.3,350,446,800,6.6,103
2013,3,San Agustín (Alicante),Q9073289,5,90,2.4,1.6,280,427,750,4.8,142
2013,3,San Antón,Q2917775,7,80,1.9,1.4,240,430,650,5.4,106
2013,3,San Blas-Santo Domingo,Q4897331,55,90,2.8,1.5,300,443,700,4.9,82
2013,3,San Gabriel National Forest,Q7414207,31,103,2.8,1.9,330,512,700,5,80
2013,3,Santa Faz,Q10879280,2,72,1.5,1.3,400,432,550,6,65
2013,3,Sidi Ifni-Nuevo Alicante,Q6127455,3,85,2.8,1.2,350,385,450,4.5,34
2013,3,Tómbola,Q6154605,4,101,3.4,1.9,395,484,575,4.8,54
2013,3,Urbanova,Q125359431,9,74,1.9,1.5,325,437,600,5.9,76
2013,3,Villafranqueza,Q9094009,6,79,2.5,1.6,300,419,900,5.3,152
2013,3,Virgen del Remedio,Q6163619,13,87,2.7,1.2,250,339,450,3.9,47
2013,3,Vistahermosa,Q6163998,4,134,3.1,2,425,660,950,4.9,174
2013,4,Pla del Bon Repòs,Q9060237,61,72,2.5,1.1,260,353,500,4.9,55
2013,4,Carolinas Altas,Q5199022,41,79,2.5,1.3,220,377,450,4.8,54
2013,4,Campoamor,Q8261229,31,83,2.8,1.4,300,378,500,4.6,56
2013,4,Carolinas Bajas,Q8339426,39,74,2.2,1.4,250,378,490,5.1,58
2013,4,Els Àngels,Q9024383,39,90,2.8,1.6,250,403,550,4.5,62
2013,4,Benalua,Q8246192,83,91,3,1.6,250,415,650,4.6,82
2013,4,San Blas-Santo Domingo,Q4897331,57,87,2.8,1.5,300,424,600,4.9,57
2013,4,Altozano-Conde Lumiares,Q5855261,24,93,3,1.5,275,425,550,4.6,81
2013,4,Florida Baixa,Q5555553,28,82,2.6,1.5,300,427,600,5.2,75
2013,4,Old town-Santa Cruz,Q8341907,22,79,2.1,1.5,250,454,800,5.7,162
2013,4,Mercado,Q3117833,42,91,2.9,1.5,300,458,700,5,88
2013,4,Old town-Santa Cruz,Q8341907,70,82,2.3,1.5,250,473,900,5.8,160
2013,4,San Gabriel National Forest,Q7414207,40,99,2.7,1.9,330,498,650,5,68
2013,4,l'Albufereta,Q11482271,73,77,2.1,1.4,250,498,800,6.5,117
2013,4,Polígono Babel,Q18005830,20,97,3.3,1.9,390,513,650,5.3,66
2013,4,San Juan Playa,Q9060728,212,87,2.3,1.7,250,536,1000,6.2,154
2013,4,Center,Q5760971,123,94,2.6,1.6,280,537,1000,5.7,151
2013,4,Garbinet,Q8963455,25,97,2.8,1.9,450,551,750,5.7,72
2013,4,Cabo de las Huertas,Q8254541,54,108,2.6,1.6,400,632,1300,5.9,219
2013,4,Florida Alta,Q5863207,19,80,2.7,1.2,299,408,500,5.1,56
2013,4,international peace,Q114246474,19,106,2.7,2.1,500,592,700,5.6,67
2013,4,Polígono San Blas,Q9061569,14,96,3.1,1.6,340,459,600,4.8,82
2013,4,Raval Roig,Q9066754,13,66,1.7,1.4,350,428,575,6.5,79
2013,4,Urbanova,Q125359431,13,72,1.9,1.5,325,419,500,5.8,60
2013,4,Alipark,Q8195638,12,87,3,1.3,350,409,500,4.7,43
2013,4,Asis,Q5770765,11,78,2.6,1.4,300,375,450,4.8,51
2013,4,Benissa,Q1649406,7,97,3,2,400,512,575,5.3,57
2013,4,San Agustín (Alicante),Q9073289,6,81,2.3,1.3,280,403,750,5,187
2013,4,Villafranqueza,Q9094009,6,76,2.5,1.5,300,450,900,5.9,224
2013,4,Joan XXIII,Q5952905,5,88,3.2,1.4,300,334,375,3.8,37
2013,4,Plaza Juan Pablo II,Q136523625,5,114,3.2,2,500,528,550,4.6,26
2013,4,Vistahermosa,Q6163998,5,139,3.2,2.2,550,730,950,5.3,179
2013,4,San Antón,Q2917775,4,80,2.3,1.3,240,343,430,4.3,78
2013,4,Santa Faz,Q10879280,3,75,1.7,1.3,400,450,550,6,87
2013,4,Sidi Ifni-Nuevo Alicante,Q6127455,3,88,2.7,1.3,370,407,450,4.6,40
2013,4,Tómbola,Q6154605,3,93,3.3,2,450,483,500,5.2,29
2013,4,garden city,Q660088,2,208,3,1.5,450,775,1100,3.7,460
2013,4,La Goteta,Q28502683,2,65,1.5,1,390,395,400,6.1,7
2013,4,Virgen del Remedio,Q6163619,2,87,3,1.5,300,340,380,3.9,57
2014,1,Alipark,Q8195638,10,91,2.9,1.3,300,418,475,4.6,53
2014,1,Altozano-Conde Lumiares,Q5855261,26,93,3,1.5,240,415,550,4.5,90
2014,1,Benalua,Q8246192,53,86,2.8,1.4,280,431,900,5.3,90
2014,1,Benissa,Q1649406,9,110,3.4,1.9,400,498,575,4.6,60
2014,1,Cabo de las Huertas,Q8254541,55,90,2.3,1.5,320,591,1250,7,216
2014,1,Campoamor,Q8261229,43,92,3,1.4,275,389,550,4.3,57
2014,1,Carolinas Altas,Q5199022,35,89,2.7,1.2,240,363,480,4.3,49
2014,1,Carolinas Bajas,Q8339426,60,77,2.3,1.2,250,386,550,5.3,66
2014,1,Old town-Santa Cruz,Q8341907,21,72,2,1.3,295,458,800,7,138
2014,1,Old town-Santa Cruz,Q8341907,73,82,2.4,1.5,280,496,1200,6.4,167
2014,1,Asis,Q5770765,17,93,2.7,1.4,300,383,450,4.5,47
2014,1,Divina Pastora,Q8561236,2,185,4,2.5,400,625,850,3.4,225
2014,1,Ensanche Diputación,Q5834070,116,99,2.8,1.6,280,528,1000,5.6,146
2014,1,Florida Alta,Q5863207,13,90,3.2,1.2,325,398,500,4.7,50
2014,1,Florida Baixa,Q5555553,25,92,2.7,1.3,300,407,500,4.7,63
2014,1,Garbinet,Q8963455,2,78,2,1,390,445,500,5.7,55
2014,1,Garbinet,Q8963455,36,99,2.9,1.8,350,541,700,5.6,69
2014,1,Joan XXIII,Q5952905,5,84,3,1,300,344,410,4.1,37
2014,1,l'Albufereta,Q11482271,64,72,1.9,1.3,230,479,1000,7,127
2014,1,Els Àngels,Q9024383,20,92,2.9,1.5,300,420,500,4.7,60
2014,1,Mercado,Q3117833,38,103,2.9,1.5,330,515,950,9.4,128
